2025-02-27 03:13:43 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 14000
2025-02-27 03:13:53 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:13:53 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:13:53 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 6836
2025-02-27 03:13:53 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 15000
2025-02-27 03:14:03 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:14:03 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:14:03 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 7185
2025-02-27 03:14:03 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 16000
2025-02-27 03:14:12 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:14:13 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:14:13 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 7442
2025-02-27 03:14:13 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 17000
2025-02-27 03:14:23 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
2025-02-27 03:14:23 | INFO | table_STAGING | INSERT_ADRESSE | Lignes affectées: 1000
2025-02-27 03:14:23 | INFO | table_MAIN | ETABLISSEMENT_UPDATE | Lignes affectées: 7682
2025-02-27 03:14:23 | INFO | table_MAIN | ADRESSE_UPDATE | Lignes affectées: 18000
2025-02-27 03:14:33 | INFO | table_STAGING | INSERT_ETABLISSEMENT | Lignes affectées: 1000
