2025-02-26 22:24:04 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:24:09 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:24:09 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:29:03 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 947
2025-02-26 22:29:03 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:29:21 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:29:21 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:29:39 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:29:39 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:29:56 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:29:56 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:33:47 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 947
2025-02-26 22:33:47 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 22:35:07 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 775
2025-02-26 22:35:07 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1722
2025-02-26 22:35:25 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:35:25 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1722
2025-02-26 22:37:08 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 940
2025-02-26 22:37:08 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 940
2025-02-26 22:37:26 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:37:26 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 940
2025-02-26 22:37:44 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:37:44 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 940
2025-02-26 22:47:05 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 8
2025-02-26 22:47:05 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 8
2025-02-26 22:47:22 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:47:22 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 8
2025-02-26 22:47:39 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:47:39 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 8
2025-02-26 22:47:56 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:47:56 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 8
2025-02-26 22:54:28 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 7
2025-02-26 22:54:28 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 15
2025-02-26 22:54:45 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:54:45 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 15
2025-02-26 22:55:02 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:55:02 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 15
2025-02-26 22:55:19 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:55:19 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 15
2025-02-26 22:58:51 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 8
2025-02-26 22:58:51 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 23
2025-02-26 22:59:08 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:59:08 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 23
2025-02-26 22:59:25 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 22:59:25 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 23
2025-02-26 23:02:40 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 1
2025-02-26 23:02:40 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 24
2025-02-26 23:02:57 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 23:02:57 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 24
